host_id,host_url,host_name,host_since,host_location,host_about,host_response_rate,host_acceptance_rate,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count
41526,https://www.airbnb.com/users/show/41526,Eddie,2009-09-27,"Maple Ridge, Canada",,100%,94%,https://a0.muscache.com/im/pictures/user/9f08d888-9053-4494-93f3-18902c7a728f.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/9f08d888-9053-4494-93f3-18902c7a728f.jpg?aki_policy=profile_x_medium,Central Vancouver,1,1
48673,https://www.airbnb.com/users/show/48673,Elaine,2009-10-27,"Vancouver, Canada","I live in the beautiful city of Vancouver on the west coast of Canada. I am a communications professional, mother to two girls - six years old and 11 years old -  wife to a weekend warrior on two wheels, a passionate supporter of organ donation and an avid traveler. We have been enjoying some of the incredible sights around our British Columbia backyard during the pandemic.",N/A,0%,https://a0.muscache.com/im/pictures/user/e10c030f-20bc-4b8d-b616-afb373109ec1.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/e10c030f-20bc-4b8d-b616-afb373109ec1.jpg?aki_policy=profile_x_medium,Renfrew-Collingwood,1,2
51466,https://www.airbnb.com/users/show/51466,Family Guns,2009-11-04,"Vancouver, Canada","We are a family who love to travel in comfort and enjoy the ethos and community spirit of AirBNB. We also host on AirBNB with a suite of our own for travelers to enjoy in Vancouver!
Bon Voyage !!",100%,100%,https://a0.muscache.com/im/pictures/user/0b83b6f7-98b7-4a0e-943f-d28ee8ba6841.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0b83b6f7-98b7-4a0e-943f-d28ee8ba6841.jpg?aki_policy=profile_x_medium,Riley Park–Little Mountain,1,3
51695,https://www.airbnb.com/users/show/51695,Natasha & Paolo,2009-11-05,"Vancouver, Canada","We are a young family who love to travel to visit our friends and family that seem to be all over the world. 
We are easy going, and really hope that our guests have a great stay and enjoy our home as much as we do. We have done our best to create a cozy, intimate space that is unique and inviting. And our 5 year old daughter loves company!
",100%,94%,https://a0.muscache.com/im/pictures/user/14ea4c9f-e493-4913-9f35-4c6312a60089.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/14ea4c9f-e493-4913-9f35-4c6312a60089.jpg?aki_policy=profile_x_medium,Riley Park,1,4
52116,https://www.airbnb.com/users/show/52116,Lynn,2009-11-07,"Vancouver, Canada","I am from Vancouver and in my free time enjoy Yoga, exploring the neighborhoods of my hometown , travel, and antique hunting to name  a few :-)",100%,96%,https://a0.muscache.com/im/pictures/user/97e432c5-d505-4bd6-ac5d-ae96c2f91f12.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/97e432c5-d505-4bd6-ac5d-ae96c2f91f12.jpg?aki_policy=profile_x_medium,Downtown Vancouver,1,1
52118,https://www.airbnb.com/users/show/52118,Liliana,2009-11-07,"Vancouver, Canada",We are very well travel couple that we like to hosting  and welcome guest from different countries. Also we use Airbnb for ours family and personally vacation . Please be in contact we us for any information that we happy yo answer .,100%,100%,https://a0.muscache.com/im/users/52118/profile_pic/1404894816/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/52118/profile_pic/1404894816/original.jpg?aki_policy=profile_x_medium,Chinatown,3,7
52467,https://www.airbnb.com/users/show/52467,Iris,2009-11-08,"Vancouver, Canada","Hello! My husband Fred and I are actors living in central Vancouver.  We pride ourselves on hosting by the golden rule - create a space that we ourselves would love to visit. A clean, warm, inviting place that you can truly call home away from home. We look forward to greeting you and hosting your stay. The apartment will have everything you will need including a large well equipped kitchen. I am also a cook book writer. Thus the well equipped kitchen!  We ask that guests tell us a bit about themselves before we accept a booking. Things like: general ages and number of guests, where they are from, purpose of the trip etc.",100%,91%,https://a0.muscache.com/im/users/52467/profile_pic/1339477858/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/52467/profile_pic/1339477858/original.jpg?aki_policy=profile_x_medium,Kensington-Cedar Cottage,3,5
52926,https://www.airbnb.com/users/show/52926,Shohreh,2009-11-10,"Vancouver, Canada","The earth is but one country!
I love travelling and meeting people from all countries and cultures.",N/A,N/A,https://a0.muscache.com/im/users/52926/profile_pic/1383134079/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/52926/profile_pic/1383134079/original.jpg?aki_policy=profile_x_medium,Downtown Vancouver,1,1
56030,https://www.airbnb.com/users/show/56030,Peter & Alison,2009-11-20,"Vancouver, Canada","We moved into this central Vancouver location 2005.  We were the first residential applicant of Vancouver's eco-density initiative in our area that allowed laneway houses to be built on a regular sized city lot.  We built our laneway house by late 2009 and since then have seen our neighborhood blossom with countless young families.  We feel right at home with the large old oak trees, field, playground and tarmack 100m down the road, and friends walking by throughout the day.  We value community, can't live without the outdoors and being active, film, music, friends, making things and solving problems.

We welcome people travelling to Vancouver whether it be to explore the city, relocate, visit family or enjoy the wondrous outdoors our city is centred in.  It is a highlight for us to meet people adventuring from all across the world, who find a home in our space for their time in our beautiful city.

Craftsman/designer, Public Health Nurse and Educator by trade, we find our two young boys and puppy keep us busy and engaged.  We believe in the principle of kaizen, slow and constant change toward improvement.  We find joy in beautiful, simple and sustainable and our space reflects that.",N/A,N/A,https://a0.muscache.com/im/pictures/user/ab0a89fa-f30b-4554-8f03-702fcbbfb8c6.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/ab0a89fa-f30b-4554-8f03-702fcbbfb8c6.jpg?aki_policy=profile_x_medium,Kensington-Cedar Cottage,1,1
56709,https://www.airbnb.com/users/show/56709,Samantha Jo,2009-11-23,"Vancouver, Canada","Hi! Thanks for visiting my page... I'm a mother, and a health and wellness coach, living and working in this beautiful city.  I love design, architecture, and cooking great food.  I travel a lot, and can't stand boring hotels -- so my suites are outfitted to be what I look for: a perfect home away from home. I truly love the neighbourhood of Strathcona and hope that you will too! 

",100%,93%,https://a0.muscache.com/im/pictures/user/28fd603e-5f80-4064-9c92-cdd89a04db5c.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/28fd603e-5f80-4064-9c92-cdd89a04db5c.jpg?aki_policy=profile_x_medium,Downtown Eastside,4,4
58512,https://www.airbnb.com/users/show/58512,Q,2009-11-29,,,0%,N/A,https://a0.muscache.com/im/users/58512/profile_pic/1444333643/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/58512/profile_pic/1444333643/original.jpg?aki_policy=profile_x_medium,Commercial Drive,5,6
59291,https://www.airbnb.com/users/show/59291,Lily,2009-12-02,"Vancouver, Canada",Architect living in Vancouver for over 40 years. Love to travel and excited to welcome travellers to my home town.,100%,67%,https://a0.muscache.com/im/pictures/user/309e9840-a96d-4dc6-b9d3-cf0fc420296b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/309e9840-a96d-4dc6-b9d3-cf0fc420296b.jpg?aki_policy=profile_x_medium,Kitsilano,1,1
63238,https://www.airbnb.com/users/show/63238,Jason,2009-12-15,"Vancouver, Canada","Enjoys: skiing, snowboarding, mountain biking, swimming, tennis , fishing and spending time with my family participating in these activities.",N/A,100%,https://a0.muscache.com/im/pictures/user/f00ba6c4-68b8-46a9-a8c0-3d17df369240.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/f00ba6c4-68b8-46a9-a8c0-3d17df369240.jpg?aki_policy=profile_x_medium,Hastings-Sunrise,1,1
63434,https://www.airbnb.com/users/show/63434,Jan,2009-12-15,"Vancouver, Canada","Owner of a number of businesses in Vancouver, Canada, including rental business",100%,99%,https://a0.muscache.com/im/pictures/user/0cbcdb73-8a5d-4552-8f7b-02075c4d8e1e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0cbcdb73-8a5d-4552-8f7b-02075c4d8e1e.jpg?aki_policy=profile_x_medium,Downtown Vancouver,6,7
64891,https://www.airbnb.com/users/show/64891,David,2009-12-21,"Vancouver, Canada","I am a property manager. I run residential rentals and Vacation Rentals as well. 
I make sure my place is clean, and bed & linen are always wash and clean after guest check out. I make sure my guests are happy when they check-in and check-out as well.

5 things that I can't live without; 
1) Clean bathroom
2) Clean bed & linens
3) Blanket for my feet :-) 
4) healthy  food & clean water 
5) Smart phone

 ",100%,59%,https://a0.muscache.com/im/users/64891/profile_pic/1322686341/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/64891/profile_pic/1322686341/original.jpg?aki_policy=profile_x_medium,Kensington-Cedar Cottage,4,13
65699,https://www.airbnb.com/users/show/65699,Aneesa,2009-12-26,"Vancouver, Canada","I love travelling and I am my happiest at a festival/concert. I work in Science, ski, play tennis, softball and recently ran my first half marathon. I was born in England, but have lived in Vancouver for 18 years now. ",N/A,80%,https://a0.muscache.com/im/users/65699/profile_pic/1414209567/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/65699/profile_pic/1414209567/original.jpg?aki_policy=profile_x_medium,Kitsilano,1,1
68672,https://www.airbnb.com/users/show/68672,James,2010-01-07,"Vancouver, Canada","I'm a business owner in Vancouver. I'm housesitting and renting out my primary apartment. I'm happy to give you some pointers on the city, so feel free to ask.",N/A,N/A,https://a0.muscache.com/im/users/68672/profile_pic/1265231356/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/68672/profile_pic/1265231356/original.jpg?aki_policy=profile_x_medium,Mount Pleasant,1,1
69472,https://www.airbnb.com/users/show/69472,Raine,2010-01-10,"Vancouver, Canada",,N/A,N/A,https://a0.muscache.com/im/pictures/user/748da391-89d2-486f-baa6-64bb8e4873c8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/748da391-89d2-486f-baa6-64bb8e4873c8.jpg?aki_policy=profile_x_medium,Kensington-Cedar Cottage,1,1
69640,https://www.airbnb.com/users/show/69640,Stephen,2010-01-11,"Vancouver, Canada","Easy going - and proud to share our house and our city.  Good coffee usually on in the morning - NEW!  Breakfast available - either as self serve in the loft, or come down and enjoy what we have available.   We are surrounded by boutique coffee shops and craft breweries!  imagine that.    I know the city well - so am happy to make suggestions on where to go, what to do, local festivals, events, etc.  Its good karma right?  I trail run in the mountains, hike, jog, ski, bike, crossfit, pilates, yoga,etc.  You are more than invited to come along.  I'm also a hash house harrier - so you can join me on our weekly runs if you like.  Do as much or as little - its your show.
Have a super day!",100%,100%,https://a0.muscache.com/im/users/69640/profile_pic/1367438758/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/69640/profile_pic/1367438758/original.jpg?aki_policy=profile_x_medium,Mount Pleasant,1,3
70137,https://www.airbnb.com/users/show/70137,Kai,2010-01-13,"Vancouver, Canada","Hi Dear Guests. House i is a company operating accommodation.  Our staff Cheryl, James,Thelma and Taty will be here to serve you.  House i is centrally located in downtown Vancouver and our goal is to provide a professional cleaning standard accommodation rather than a family oriented accommodation.  If you are looking for a convenient location, nice and clean accommodation at a reasonable price,  we will be your best choice.  

Look forward to seeing you soon.

House i Staff",80%,79%,https://a0.muscache.com/im/users/70137/profile_pic/1367221458/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/70137/profile_pic/1367221458/original.jpg?aki_policy=profile_x_medium,West End,4,9
70437,https://www.airbnb.com/users/show/70437,Ran,2010-01-14,"Vancouver, Canada","In my spare time I am pretty active - currently with beach volleyball, hiking, orienteering, swing dancing, and rock-climbing.

I also enjoy travelling, reading, foreign films, and intelligent conversation about pretty much anything.

I am often busy after work so may not see much of you, but would be happy to invite you along to some of the outdoor activities that I am doing if you are keen on hiking or other outdoor activities.",N/A,N/A,https://a0.muscache.com/im/users/70437/profile_pic/1263455313/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/70437/profile_pic/1263455313/original.jpg?aki_policy=profile_x_medium,Mount Pleasant,1,4
71508,https://www.airbnb.com/users/show/71508,Sylvain & Alexis,2010-01-18,"Vancouver, Canada","We - Alexis and Sylvain - are professional dance artists. Alexis is a dancer working for Ballet BC and Sylvain is a freelance Ballet Master, Rehearsal Director and also a photographer. We are passionate for our commitment to working in the arts and we want to reflect that in our home. Our intention is to create a welcoming and restful environment and we love to share it with our guests.",100%,100%,https://a0.muscache.com/im/pictures/user/dda7e40f-53b6-493f-b5f2-79f18bcebe91.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/dda7e40f-53b6-493f-b5f2-79f18bcebe91.jpg?aki_policy=profile_x_medium,Commercial Drive,1,3
74245,https://www.airbnb.com/users/show/74245,Salim,2010-01-27,"Vancouver, Canada","We like snowboarding, eating on the deck,  watching tv.",100%,100%,https://a0.muscache.com/im/users/74245/profile_pic/1283800719/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/74245/profile_pic/1283800719/original.jpg?aki_policy=profile_x_medium,West End,2,6
75777,https://www.airbnb.com/users/show/75777,Franklin,2010-01-31,"Vancouver, Canada",I work in the cell phone industry and have travelled to many countries around the world.  I enjoy meeting people from different cultures and welcome you as our guest.,100%,100%,https://a0.muscache.com/im/users/75777/profile_pic/1264942744/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/75777/profile_pic/1264942744/original.jpg?aki_policy=profile_x_medium,Renfrew-Collingwood,1,4
75986,https://www.airbnb.com/users/show/75986,Tony And Rachel,2010-01-31,"Vancouver, Canada","We like to meet new people and see new places and we love road trips. We are vegetarians but our daughter is a carnivore.  We like good food,good friends and good movies, so we enjoy spending time at home when we can.

We live in the upstairs suite and we enjoy meeting our guests and helping you get to know our city.  

As with any vacation rental property, we respect your privacy by leaving you alone unless you need us (to answer questions, etc.).  

Enjoy your stay!",100%,100%,https://a0.muscache.com/im/pictures/user/e1544160-13a5-4083-a7eb-a75dc9995a79.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/e1544160-13a5-4083-a7eb-a75dc9995a79.jpg?aki_policy=profile_x_medium,Mount Pleasant,1,1
79337,https://www.airbnb.com/users/show/79337,Saligooli,2010-02-09,"Vancouver, Canada","Welcome to Vancouver!
This is Saligooli :-)",N/A,N/A,https://a0.muscache.com/im/users/79337/profile_pic/1319843605/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/79337/profile_pic/1319843605/original.jpg?aki_policy=profile_x_medium,Riley Park,1,5
79379,https://www.airbnb.com/users/show/79379,Pushpa,2010-02-09,"Vancouver, Canada","Welcome to my Airbnb site. I am a  local resident for almost 30 years who is passionate about health and nature. I love hiking in the woods, gardening and cooking. This home will give any opportunity to walk in the woods right off your doors steps. I look forward to hosting you all. Warmest Regards.  ",100%,100%,https://a0.muscache.com/im/pictures/user/aa80de92-0049-453d-90ea-59be61aa2db8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/aa80de92-0049-453d-90ea-59be61aa2db8.jpg?aki_policy=profile_x_medium,Point Grey/University of British Columbia,7,17
80436,https://www.airbnb.com/users/show/80436,Marta,2010-02-12,"Vancouver, Canada","I work from home since 2011, as a website designer and painter.
My great passions are painting, biking, swimming in the lakes.
I am super fortunate to live minutes from the greatest bike routes.
Hard to list my Favourite books, but I definitely love books with unexpected twists or books with new ideas: 
Mr. Sammler's Planet, Saul Bellow
Netochka Nezvanova,  Fyodor Dostoevsky
Plato Not Prozac, Lou Marinoff
My Name Is Red, Orhan Pamuk
The Bridge on the Drina, Ivo Andric
The Critique of Pure Reason, Immanuel Kant
When I travel it is to experience real life, languages and people in other countries. I love Greece, Belgrade and Paris, because I love painting, swimming in the warm Aegean sea and great and affordable theatre performances in Belgrade.
My husband prefers all inclusive arrangements, but I try to avoid these artificial environments and create my own itinerary.  ",N/A,N/A,https://a0.muscache.com/im/pictures/user/8d1861a6-1ea3-4c19-8ae2-e63141849b99.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/8d1861a6-1ea3-4c19-8ae2-e63141849b99.jpg?aki_policy=profile_x_medium,Fairview,1,1
83871,https://www.airbnb.com/users/show/83871,Adam,2010-02-22,"Vancouver, Canada","Hello! I’m delighted to welcome people from all parts of the world to stay.  I'm very friendly, respectful, helpful and sociable.  I'd love to have you stay and provide you a comfortable, clean and safe stay while sharing with you as much information about Vancouver as possible. I look forward to making my place your home away from home!",100%,100%,https://a0.muscache.com/im/pictures/user/21af7e4b-1daf-4ed5-81f6-1aa6ed67aab3.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/21af7e4b-1daf-4ed5-81f6-1aa6ed67aab3.jpg?aki_policy=profile_x_medium,Renfrew-Collingwood,3,3
83871,https://www.airbnb.com/users/show/83871,Adam,2010-02-22,"Vancouver, Canada","Hello! I’m delighted to welcome people from all parts of the world to stay.  I'm very friendly, respectful, helpful and sociable.  I'd love to have you stay and provide you a comfortable, clean and safe stay while sharing with you as much information about Vancouver as possible. I look forward to making my place your home away from home!",100%,100%,https://a0.muscache.com/im/pictures/user/21af7e4b-1daf-4ed5-81f6-1aa6ed67aab3.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/21af7e4b-1daf-4ed5-81f6-1aa6ed67aab3.jpg?aki_policy=profile_x_medium,Renfrew-Collingwood,3,3
84820,https://www.airbnb.com/users/show/84820,Chris,2010-02-24,"Vancouver, Canada","I have travelled all over the world, and finally decided to make Vancouver + Canada my chosen home.
 I TRULY LOVE THIS CITY ...... its natural beauty, the beaches, the mountains, the tree-lined streets, the interesting neighbourhoods, like  CAMBIE VILLAGE,  COMMERCIAL DRIVE,  MAIN STREET,  KITSILANO,  the old fishing village of STEVESTON,  etc..  
The city + ocean walks, the cultural offerings, the great restaurants for all tastes + budgets with cuisine from all over the world, the cafes with live music, the spirit of the 'sharing economy', the beautiful parks, like QUEEN ELIZABETH PARK + STANLEY PARK, and many smaller community parks,  the BLOEDEL Conservatory,  VAN DUSEN GARDENS,  the LYNN CANYON SUSPENSION BRIDGE,  the VANCOUVER ART GALLERY, the MUSEUM of ANTHROPOLOGY at the UBC campus, etc., etc., ........ 
and I would be happy to introduce visitors to its many different aspects, and answer any questions you may have.

I truly enjoy helping fellow travellers feel at home by providing 
comfortable surroundings, a relaxed, easy-going atmosphere, 
and help with TRAVEL INFO + SUGGESTIONS of THINGS TO SEE + DO, 
with FINDING PERMANENT HOUSING  in Vancouver, if you are new to the CITY and/or the COUNTRY, and if you plan to GET SETTLED here  ........
plus answering your QUESTIONS + fulfill reasonable REQUESTS to the best of my ability.

Besides travelling all over the world, and my passion for Canada, for Vancouver, Vancouver Island, the Sunshine Coast + other areas of British Columbia, some of my other interests are: 

Neuroscience, depression research + treatment (especially the newer theories), as well as other treatment-resistant health conditions that science + medicine do not yet have good answers for, 
brain research, psychology, neurology, evidence-based medicine, injury recovery, concussion recovery //

Healthy nutrition without being too dogmatic about it //
Photography, architecture, design + industrial design, beautiful things //

Entrepreneurship + philanthropy, the 'Sharing Economy', ' (Website hidden by Airbnb) treating each other with kindness + respect,  interesting + novel ways of creating a good, meaningful life as well as a good income by thinking outside of the box // 

Reading, biographies, novels, short stories, science, history, politics, great TV shows + films, geography, 
different musical styles ...... especially songs with interesting, intelligent lyrics one can actually understand, 
great writing + intelligent conversation, small dinners with good friends (old + new) //

Downhill skiing, ocean kayaking, canoeing, bicycling, swimming (ideally in tropical waters), other forms of physical activities, like walks with great views on beaches, rocky headlands, most islands (tropical + otherwise), houses with ocean views ...... and probably a few more things that I can't think of right now ...... but this list should give you a pretty good idea of what constitutes a good day for me.

Thanks for reading this far :) 
",N/A,N/A,https://a0.muscache.com/im/users/84820/profile_pic/1267009110/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/84820/profile_pic/1267009110/original.jpg?aki_policy=profile_x_medium,South Cambie,1,21
85132,https://www.airbnb.com/users/show/85132,Sanford,2010-02-24,"New Orleans, LA","I'm a veteran of the US NAVY; served from 1971 - '73. For most of my time in New Orleans, I managed nightclubs in the French Quarter. Also, owned and operated a Personal Trainer business.
I've operated my travel business with AIRBNB since 2008.
I do my best to accommodate all my guests, respond to all inquiries as soon as possible, answer any and all questions, and provide them with the most accurate, up-to-date information about the resorts, and the surrounding areas.
And, I try to give the most economical rates.",99%,15%,https://a0.muscache.com/im/users/85132/profile_pic/1317411348/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/85132/profile_pic/1317411348/original.jpg?aki_policy=profile_x_medium,Kailua/Kona,119,122
93158,https://www.airbnb.com/users/show/93158,Carrie,2010-03-14,"Richmond, Canada",Married couple in our forties from Vancouver Canada,100%,98%,https://a0.muscache.com/im/pictures/user/3a4e1607-e605-41b2-890a-9a5a970b28c9.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/3a4e1607-e605-41b2-890a-9a5a970b28c9.jpg?aki_policy=profile_x_medium,Steveston,2,3
103427,https://www.airbnb.com/users/show/103427,Jacqueline M,2010-04-04,"San Francisco, CA",Hi everyone!! I am a bay area native and I love to travel and meet new people.  I have enjoyed my experience so far with this site. I hope to hear from you :),63%,9%,https://a0.muscache.com/im/pictures/6ce63571-0f4f-4194-b545-d1fdfa7fd39a.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/6ce63571-0f4f-4194-b545-d1fdfa7fd39a.jpg?aki_policy=profile_x_medium,Downtown Vancouver,187,286
109845,https://www.airbnb.com/users/show/109845,Alicia,2010-04-17,"Vancouver, Canada","With a little help from my family, I run COMFYSUITES -  offering comfy, clean, convenient furnished apartment accommodations in Downtown Vancouver, in central locations to public transit, shopping, entertainment, and dining.

We enjoy sharing what we love in Vancouver and are happy to give tips on local favourites and things to do. 

We have had our share of amazing experiences traveling around the world and have met generous folks off the beaten path. So we can appreciate the sense of relief and comfort that comes with having a local help in a new place. We hope to share the same warm hospitality with our guests.

",100%,96%,https://a0.muscache.com/im/users/109845/profile_pic/1314946579/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/109845/profile_pic/1314946579/original.jpg?aki_policy=profile_x_medium,Downtown Vancouver,6,15
143724,https://www.airbnb.com/users/show/143724,Ili,2010-06-13,"Vancouver, Canada","We are from Vancouver BC,We like to travel and meet new people!
I'm also a certified Yoga Teacher and you are welcome to take a private class with me.",100%,96%,https://a0.muscache.com/im/pictures/user/564b77cb-472c-4f98-b2f2-8d0854176f82.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/564b77cb-472c-4f98-b2f2-8d0854176f82.jpg?aki_policy=profile_x_medium,Riley Park,1,2
